"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1400000US06075012801","Census Tract 128.01; San Francisco County; California","1162","193","57","59","64","63","12","21","33","34","0","14","0","14","10","17","13","22","59","62","29","33","0","14","85","67","116","92","9","15","74","58","601","185",
"1400000US06075012802","Census Tract 128.02; San Francisco County; California","1001","162","20","36","0","14","0","14","0","14","0","14","17","28","16","27","0","14","0","14","8","11","76","67","84","59","18","22","38","34","107","64","617","196",
"1400000US06075012901","Census Tract 129.01; San Francisco County; California","1459","185","56","56","0","14","0","14","0","14","13","15","0","14","0","14","31","47","0","14","28","27","6","10","94","70","107","54","136","58","209","69","779","204",
"1400000US06075012902","Census Tract 129.02; San Francisco County; California","1734","235","54","77","0","14","33","54","16","25","0","14","0","14","0","14","12","20","24","40","11","19","62","44","207","118","74","62","227","124","172","108","842","230",
"1400000US06075013001","Census Tract 130.01; San Francisco County; California","911","127","40","39","0","14","0","14","0","14","12","20","0","14","0","14","63","51","10","18","10","16","38","39","23","28","193","65","57","52","65","49","400","125",
"1400000US06075013002","Census Tract 130.02; San Francisco County; California","1285","258","12","19","12","18","0","14","0","14","0","14","10","17","0","14","0","14","17","26","0","14","22","26","0","14","41","32","38","44","258","227","875","179",
"1400000US06075013101","Census Tract 131.01; San Francisco County; California","2233","298","94","82","42","77","10","15","0","14","9","15","10","18","14","25","0","14","45","45","32","39","154","112","142","131","202","134","99","100","267","174","1113","311",
"1400000US06075013102","Census Tract 131.02; San Francisco County; California","1482","302","10","16","9","16","0","14","9","14","19","35","0","14","70","54","12","14","30","47","67","62","18","21","98","57","62","36","168","122","88","54","822","242",
"1400000US06075013200","Census Tract 132; San Francisco County; California","2224","319","21","35","50","78","0","14","44","50","0","14","30","50","0","14","97","130","52","45","119","122","199","128","114","106","171","198","17","27","246","145","1064","278",
"1400000US06075013300","Census Tract 133; San Francisco County; California","1958","196","29","31","71","70","133","118","38","36","81","64","8","13","0","14","64","72","33","37","114","124","17","18","25","24","140","92","123","74","225","109","857","157",
